id,keywords,jobId,jobTitle,jobType,description,industry,jobFunction,companyName,employmentType,companyUrl,companyAddress,seniorityLevel,pubTime,createdTime,updatedTime
22,social network analysis,1868347383,Counter-UAS Irregular Warfare Analysis (IWA) Analyst with Security Clearance,linkedin,"Responsibilities Operational Intelligence LLC is currently seeking Irregular Warfare Analysts to serve on a unique, multi-discipline team assisting JIDO and deployed US Forces with fused intelligence products that enhance US Forces effectiveness against enemy networks that employ improvised threats such as unmanned aerial systems (UAS). The IWA Analyst will work as a member of an integrated contract and government team to conduct all source intelligence research and analyze, compile, evaluate, and integrate all-source intelligence information into a variety of intelligence products on insurgencies worldwide. The IWA analyst will support comprehension of how irregular warfare threats are organized, manned, equipped, and sustained and provide intelligence support to policy makers, planners, and operational forces engaged against these threats. The IWA will analyze insurgent political and military organization, military capabilities, and combat tactics, techniques, and procedures, recruitment, training, and sustainment, population influence and control methodologies, material procurement, development, and proliferation, transregional logistics, and financing. Detailed Responsibilities: The IWA Analyst demonstrates analytic expertise to make recommendations for future products anticipates customer intelligence needs through the proactive identification of intelligence gaps and explores anomalies, new developments, and trends that could potentially impact and /or threaten client operational capabilities or intelligence requirements. The IWA Analyst facilitates all-source analysis relating to complex strategic assignments driven by client priorities. The IWA Analyst utilizes appropriate analytic tradecraft to yield judgments and assessments that offer value-added insights that extend beyond the most obvious connections. The IWA Analyst identifies intelligence gaps, evaluates information, conducts analysis, and produces intelligence products. Successful applicants will have documented experience working with multidiscipline Operations/Intelligence teams and familiarity with other elements of the DoD, the interagency and coalition partners. This position may require recurring domestic and international travel to include deploying to combat zones. The applicant may be called upon to support 24-hour watch operations. Experience and Education: Required: Senior Level requirement: Masters degree and 10 years of relevant experience, or a bachelor''''s degree and 18 years of relevant experience, or 22 years of relevant work experience. Journeyman Level requirement: Bachelors degree and 3 years of experience, or associates degree and 7 years of experience, or 9 years of relevant work experience. Applicants must be fully deployable to the required theater of operations. This position requires the ability to obtain and hold a TOP SECRET clearance with SCI eligibility. (Resume must show that proposed employee currently holds a TS clearance with previous access to SCI level of information.) Must have experience in utilizing the CALEB or Irregular Warfare Analysis methodology. Highly Desired: Post 9/11 experience conducting deployed intelligence analysis.2 years of experience providing direct support to Special Operations Forces (SOF) units. 10 years of relevant intelligence experience with either the U.S. Military or other Federal Government agencies to demonstrate the ability to meet the duties described above. Prior experience providing direct deployed support to National SOF elements. The IWA Analyst should have the ability to perform tasks and provide training to support the client in the uses and capabilities of the following web-based intelligence tools, software, and databases: Multimedia Message Manager (M3), Tripwire Analytic Capability (TAC), NCTC Online, Terrorism Identities Datamart Environment (TIDE), ICReach SIGINT database, Cultweave SIGINT database, PROTON SIGINT database, Skope SIGINT analytical toolkit, Analyst Notebook /Palantir link analysis software, ArcGIS spatial analysis software, Google Earth spatial analysis software, and Microsoft productivity software and applications as needed. The IWA Analyst should have familiarity with the following methodologies: F3EAD, CALEB/IWA, Social Network Analysis and CARVER. For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website. https://www.applicantpro.com/j/669269-145744",Information Technology and Services,Other,"Reston, VA",Contract,https://uk.linkedin.com/company/oi-ltd?trk=public_jobs_topcard_org_name,"Reston, VA",Not Applicable,2020/5/18,19/5/2020 20:40:07,19/5/2020 20:40:07
23,social network analysis,1868554059,"Strategic Partner Manager, Mobile Partnerships, India",linkedin,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.Facebook is seeking a Mobile Partnerships Manager who is obsessed with mobile technology, social media and business strategy.The ideal candidate will have experience in the consumer Internet and mobile industry, with an extensive network of contacts in the space. You have demonstrated strengths and expertise in strategic analysis, product management and marketing. You're a great executor, who can be bold and move fast. This team at Facebook are responsible for defining and driving growth initiatives, identifying growth opportunities that help acquire new users as well as retaining current users, and working on improving the product to further improve the Facebook user experience.The role will be based in Gurgaon or Mumbai.ResponsibilitiesEngage with telecom service providers to drive improvements in network deployments through analytics &amp; innovative connectivity technologiesDrive local execution of growth initiatives, spanning across the family of Facebook services, through online and retail driven growth programsProvide market insights. Identify and monitor strengths, weaknesses, opportunities and threats relevant for Facebook's adoption in the regionInfluence and improve the Facebook experience of users in your region by identifying product - market fit gapsExplore, identify and evaluate strategic growth opportunitiesManage growth related partnershipsBe an advocate for people using Facebook in the regionMinimum QualificationBA/BS degree or equivalent practical experience, preferred MBA or advanced professional degree10+ years of experience in the Mobile industryExtensive knowledge of online and mobile business models and Internet/consumer technologyPossesses mobile product management skills and experienceSelf-driven, comfortable with a fast-paced, always-on, highly ambiguous start-up environmentStrong quantitative background with demonstrated ability to understand SQL data queries preferredExperience in working cross-functionally from a remote location is an advantageExtensive experience dealing with partnersPreferred QualificationPrior experience working in a high-growth or startup technology company preferred",Internet,"Business Development,Sales",India,Full-time,https://www.linkedin.com/company/facebook?trk=public_jobs_topcard_org_name,India,Not Applicable,2020/5/18,19/5/2020 20:40:09,19/5/2020 20:40:09
24,social network analysis,1868554075,"Strategic Partner Manager, Mobile Partnerships, India",linkedin,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.Facebook is seeking a Mobile Partnerships Manager who is obsessed with mobile technology, social media and business strategy.The ideal candidate will have experience in the consumer Internet and mobile industry, with an extensive network of contacts in the space. You have demonstrated strengths and expertise in strategic analysis, product management and marketing. You're a great executor, who can be bold and move fast. This team at Facebook are responsible for defining and driving growth initiatives, identifying growth opportunities that help acquire new users as well as retaining current users, and working on improving the product to further improve the Facebook user experience.The role will be based in Gurgaon or Mumbai.ResponsibilitiesEngage with telecom service providers to drive improvements in network deployments through analytics &amp; innovative connectivity technologiesDrive local execution of growth initiatives, spanning across the family of Facebook services, through online and retail driven growth programsProvide market insights. Identify and monitor strengths, weaknesses, opportunities and threats relevant for Facebook's adoption in the regionInfluence and improve the Facebook experience of users in your region by identifying product - market fit gapsExplore, identify and evaluate strategic growth opportunitiesManage growth related partnershipsBe an advocate for people using Facebook in the regionMinimum QualificationBA/BS degree or equivalent practical experience, preferred MBA or advanced professional degree10+ years of experience in the Mobile industryExtensive knowledge of online and mobile business models and Internet/consumer technologyPossesses mobile product management skills and experienceSelf-driven, comfortable with a fast-paced, always-on, highly ambiguous start-up environmentStrong quantitative background with demonstrated ability to understand SQL data queries preferredExperience in working cross-functionally from a remote location is an advantageExtensive experience dealing with partnersPreferred QualificationPrior experience working in a high-growth or startup technology company preferred",Internet,"Business Development,Sales","Gurgaon, Haryana, India",Full-time,https://www.linkedin.com/company/facebook?trk=public_jobs_topcard_org_name,"Gurgaon, Haryana, India",Not Applicable,2020/5/18,19/5/2020 20:40:09,19/5/2020 20:40:09
25,social network analysis,1869968826,Social Media Analyst,linkedin,"Social Media is the most trusted platform available to consumers today, having a proven influence over purchasing behaviour.We are a London based Social Media Agency/Consultancy. We are seeing fantastic growth even in these hard economic times, and have landed a number of large brand names. We bring actionable insight to the quicksilver nature of social media. We analyse all forms of social media with a view to developing, implementing and measuring online communication strategies.Our Services: 1- Social Media Auditing: Sentiment Analysis; Channel Volume + Location; Key Influencer Identification 2-Social Media Strategy: Detailed campaign plan and schedule 3-Social Media Asset Creation: Widgets; Applications; Blogs; Videos; Social Networking Groups 4-Campaign Implementation: Blog, Social Network, Forum Communication as per our ethical guidelines 5-Measurement and Evaluation: Tracking and analysis of overall brand buzz pre and post campaign Description  We are  a full service Social Media Agency with strong academic links with the University of London. We work with a number of international brands on a global basis, researching, creating, executing and measuring Social Media campaigns. These relationships have been forged in many cases through the clarity of our research and the excellence of our insights. Whilst not exclusively a research organisation, all campaigns and strategic recommendations are rooted in our Social Media Audit processes and proprietary metrics.  You are an experienced Social Media Analyst well used to producing insight, analysis and recommendations in the form of Research Notes from raw data. You are fascinated by the evolution Social Media metrics -Reach, Influence, Affinity et al- and write clearly and concisely with excellent Word / XL familiarity. Though more interested in desk based research and pushing the boundaries of this thriving new industry, you will not shy away from client contact. Details Hours: Full Time Term: Permanent",Information Technology and Services,"Marketing,Public Relations,Writing/Editing",Ggruk,Full-time,,"London, England, United Kingdom",Associate,2020/5/18,19/5/2020 20:40:11,19/5/2020 20:40:11
26,social network analysis,1868088341,Linux System Administrator,linkedin,"Managed by: Europe TeamLinux System Administrator Vienna to _65,000 *Remote Interview*Linux System Administrator / Technical Lead (CentOS RedHat Ansible) *Remote Interview WFH*. Global FinTech is seeking an experienced Linux System Administrator to join the team in Vienna.As a Linux System Administrator you will be responsible for the administration of all internal and external Linux systems - mainly CentOS and RedHat including firewall administration, documentation and ongoing monitoring. You'll implement plans for deploying new services in a highly available and automated environment utilising tools such as Ansible and Morpheus to automate workloads; take ownership of tickets raised and help to provide mentoring and guidance for junior team members.You'll be based in modern offices in Central Vienna; there's a great team environment with regular social / sports / team events as well as personalised training budget.Driven by technology this company is able to offer a remote interview and onboarding process (as well as the ability to work from home) during the current social distancing measures.RequirementsStrong knowledge of Linux OS including multiple Linux distributions: including CentOS, RedHat Linux and ideally others e.g. Ubuntu, FedoraGood working knowledge of networks and network analysis toolsExperience with AnsibleAbility to script with Python to high level, coding experience preferredExperience with highly available, low latency systems and Load BalancersStrong analysis and problem solving skillsCollaborative team player; proactive keen to learn and share knowledgeGood communication skills; fluency with German and business level English requiredAs a Linux System Administrator you will earn a competitive salary (to _65k) plus bonus and benefits.",Information Technology and Services,Information Technology,Client Server Limited,Full-time,,"Vienna, Vienna, Austria",Entry level,2020/5/17,19/5/2020 20:40:11,19/5/2020 20:40:11
27,social network analysis,1844601157,Senior Open Source Practitioner/Analyst,linkedin,"Job DescriptionBAE Systems is seeking a Senior Open Source Practitioner/Analyst to support our government customer. This Senior Open Source Practitioner/Analyst will be required to: Conduct collection and exploitation of Publicly Available Information (PAI) via use of OSINT tools  Conduct exploitation of social media and public accessible databases  Produce Open Source intelligence (OSINT) Reports and other OSINT network analysis products  Gather, synthesize, and analyze open source intelligence information in support of objectives related to force protection, counterterrorism, counternarcotics, and other areas of the Army mission  Coordinate and collaborate with other intelligence disciplines to produce finished intelligence products, including threat assessments  Assess and provide recommendations on emerging OSINT methodologies and tools  Respond to Requests for Information  Provide input to curriculum development for OSINT training requirements  Provide support to operational planning, technical papers, and other tasks as directed by customer  Troubleshoot OSINT tools Required Skills and Education  10+yrs demonstrated intelligence experience w/Masters Degree or 10+yrs w/Bachelors Degree  Experience utilizing Commercial Off The Shelf (COTS) OSINT tools which include but are not limited to the Berber Hunter Tool Kit applications (e.g., SILO, SCRAAWL, Data Miner, and Babel).  Demonstrated experience in a field related to OSINT research, collection management, or analysis or the exploitation of PAI or social media  Prior military or government analytical training (e.g., all source, SIGINT, HUMINT or GEOINT)  Must have demonstrated knowledge of signature reduction and experience collecting and exploiting from deep web and dark web information  Graduate of Government OSINT Training courses (e.g., OS301/OS302, CASO, defense or IC equivalent (DIA OS1, FBI OS101).  Foreign language capabilities of 2+/2+ DLPT or better Preferred Skills And Education Experience conducting intelligence analytical support for the DoD  Knowledge of scripting languages and technologies, including Python, Java, R Script, and JEMA About BAE Systems Intelligence &amp; Security BAE Systems Intelligence &amp; Security, based in McLean, Virginia, designs and delivers advanced defense, intelligence, and security solutions that support the important missions of our customers. Our pride and dedication shows in everything we do__rom intelligence analysis, cyber operations and IT expertise to systems development, systems integration, and operations and maintenance services. Knowing that our work enables the U.S. military and government to recognize, manage and defeat threats inspires us to push ourselves and our technologies to new levels. That__ BAE Systems. That__ Inspired Work. Equal Opportunity Employer/Females/Minorities/Veterans/Disabled/Sexual Orientation/Gender Identity/Gender Expression. To see Inspired Work in action, visit www.baesystems.com and follow us on Facebook: www.facebook.com/baesystemsintel.",Information Technology and Services,Information Technology,"Annapolis, MD",Full-time,https://www.linkedin.com/company/baesystemsinc?trk=public_jobs_topcard_org_name,"Annapolis, MD",Associate,2020/5/17,19/5/2020 20:40:13,19/5/2020 20:40:13
28,social network analysis,1868181795,INTELL SPEC,linkedin,"DutiesSummaryServe as an Intelligence Specialist performing a wide range of difficult tasks regarding the analysis, evaluation, collection, interpretation, or dissemination of information and/or products relative to an assigned area(s) on political, economic, social, cultural, physical, geographic, technical or military conditions for one or more foreign countries. This position is located in Fort Meade, MD.ResponsibilitiesYou will conduct and provide a wide range of difficult task conducting complex digital network intelligence analysis in support of USMC, Joint, and National intelligence and cyberspace requirements.You will utilize signals intelligence (SIGINT), open-source research, and other data from digital networks to build target knowledge and produce technical reports.You will assess intelligence gaps, and initiates requests to guide tasking and assists in collection management activities.You will prepare and present products and information to support full-spectrum cyberspace operations.Travel RequiredOccasional travel - Occasional travel may be required.Supervisory statusNoPromotion Potential12RequirementsConditions of EmploymentMust be a US Citizen.Must be determined suitable for federal employment.Must participate in the direct deposit pay program.New employees to the Department of the Navy will be required to successfully pass the E-Verify employment verification check. To learn more about E-Verify, including your rights and responsibilities, visit e-verify.govYou must obtain and maintain a Top Secret security clearance and access to Sensitive Compartmented Information (SCI). Failure to do so may result in the withdrawal of an offer or removal. Indicate the level and date of your clearance in your resume.Successful completion of a pre-employment drug test (including marijuana) is required. A tentative offer of employment will be rescinded if you fail to report to the drug test appointment or pass the test. You will be subject to random testing.You must acknowledge in writing that you are accepting an appointment in the DCIPS (excepted service) which does not confer competitive status, prior to appointment.Within the Department of Defense (DoD), the appointment of retired military members within 180 days immediately following retirement date to a civilian position is subject to the provisions of 5 United States Code 3326.Males born after 12-31-59 must be registered for Selective Service.All Defense Intelligence positions under the Defense Civilian Intelligence Personnel System (DCIPS) are in the excepted service by specific statute, 10 U.S.C. 1601. This position is in the excepted service and does not confer competitive status.This position requires a periodic polygraph examination.""Must meet qualification requirements of the specialty area assigned as delineated in Appendix 4 of SECNAV M-5239.2.""QualificationsYour resume must demonstrate at least one year of specialized experience at or equivalent to the GG/GS-11 grade level or pay band in the Federal service or equivalent experience in the private or public sector performing duties, such as: 1) Conducting a wide range of difficult tasks involving complex digital network intelligence analysis in support of the command or organizations intelligence and cyberspace requirements; 2) Utilizing signals intelligence (SIGINT), open-source research, and other data from digital networks to build target knowledge and produce technical reports; 3) Preparing and presenting products and information to support full-spectrum cyberspace operations; 4) Reconstructing computer networks by creating and interpreting computer network maps or mission-essential information; and, 5) Working with other team members in the development of target and/or technical requirements, and collaborating with and providing information/recommendation to enable planners in accomplishing their daily duties.Additional qualification information can be found from the following Office of Personnel Management website: https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/#url=List-by-Occupational-Serieshttp://archive.opm.gov/qualifications/Standards/IORs/gs0100/0132.htmEducationNAAdditional informationThis position is covered by the Department of Defense Priority Placement Program.Additional vacancies may be filled by this announcement.A tentative offer of employment will be rescinded if the selectee fails to meet the pre-employment requirements, including failure to report to any of the scheduled appointments.If you are unable to apply online and request information about the Alternate Application process, please contact the Department of Navy's Employment Information Center.Federal annuitant information: The selection of an annuitant is subject to the Department of Defense and Department of the Navy policy on the employment of annuitants. Policy information may be found at: http://www.secnav.navy.mil/donhr/Documents/CivilianJobs/FedCivAnnuitants.pdfICTAP does not apply to Excepted Service positions.Certification""This position has been designated as a Cyber IT/Cybersecurity Workforce position in specialty area (46) and as a condition of employment incumbents of the position are required to comply with the DON Cyber IT/CSWF Program requirements of SECNAV M-5239.2, which include: 1. Earn and maintain appropriate credentials from the Cyber IT/CSWF Qualification Matrix (described in SECNAV M-5239.2) associated with the specialty area and level commensurate with the scope of major assigned duties for the position to which you are assigned, and; 2. Participate in a continuous learning program as described in SECNAVINST 1543.2. A minimum of 40 hours of Cyber IT/CSWF related continuous learning annually documented in a current individual development plan signed by both the employee and supervisor.""Recruitment incentives may be authorized to eligible new hires.Relocation incentives may or may not be authorized.Read moreHow You Will Be EvaluatedYou will be evaluated for this job based on how well you meet the qualifications above.In order to qualify for this position, your resume must provide sufficient experience and/or education, knowledge, skills, and abilities to perform the duties of the specific position for which you are being considered. Your resume is the key means we have for evaluating your skills, knowledge, and abilities as they relate to this position. Therefore, we encourage you to be clear and specific when describing your experience.You Will Be Rated Based On The Information Provided In Your Resume And Responses To The Occupational Questionnaire, Along With Your Supporting Documentation To Determine Your Ability To Demonstrate The Following CompetenciesWhen the application process is complete, we will review your resume to ensure you meet the hiring eligibility and qualification requirements listed in this announcement.COLLECTION OPERATIONSCUSTOMER OPERATIONS AND REQUIREMENTSPARTNERING If after reviewing your resume and supporting documentation, a determination is made that you inflated your qualifications and/or experience, your score may be adjusted to more accurately reflect your abilities or you may be found ineligible/not qualified. If selected, you may be required to provide supporting documentation.Please follow all instructions carefully. Errors or omissions may affect your rating or consideration for employment.All eligibility, qualifications, and time-in-grade requirements must be met by the closing date of this announcement.Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment.Read moreBackground checks and security clearanceSecurity clearanceTop SecretDrug test requiredYesThis job is open toThe publicU.S. citizens, nationals or those who owe allegiance to the U.S. Clarification from the agencyAll U.S. citizens and Interchange Agreement Eligibles nationwide.Location1 vacancy in the following location:Fort Meade Naval Facilities, MDFort Meade Naval Facilities, MD 1 vacancyRelocation expenses reimbursedYes Relocation expenses (i.e. PCS) or relocation incentives as described in 5 USC 5753 may or may not be authorized in accordance with applicable travel regulations, command policy and available command funding.Telework eligibleYes as determined by agency policyOverview Open &amp; closing datesOpening and closing dates05/15/2020 to 05/22/2020 ServiceExcepted  Pay scale &amp; gradeGG 12  Salary$86,335 to $112,240 per year Appointment typePermanent  Work scheduleFull-Time",Defense & Space,Other,"Fort Meade, MD",Part-time,https://www.linkedin.com/company/department-of-navy?trk=public_jobs_topcard_org_name,"Fort Meade, MD",Not Applicable,2020/5/17,19/5/2020 20:40:14,19/5/2020 20:40:14
29,social network analysis,1868272007,Data Science Manager,linkedin,"Greetings from HCL America!!! We are searching an experienced Senior_ Professional to grow and lead our Data Science service line. The ideal candidate for this role will be an experienced engineer with proven leadership skills and data science skills. Strong business interfacing skills and people management experience are required for this role.    Position: Data Science Lead/ Manager  Job Overview   Data Scientist will support product, sales, leadership and marketing teams with insights gained from analyzing data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.   _   Responsibilities   · _ _ _ _ Help clients transform their business and solve complex problems, provide technology recommendations.   · _ _ _ _ General data architecture and advanced analytics proposal support , design and delivery.   · _ _ _ _ Work with stakeholders throughout the organization to identify opportunities for leveraging data to drive business solutions.   · _ _ _ _ Mine and analyze data from databases to drive optimization and improvement of product development, marketing techniques and business strategies.   · _ _ _ _ Assess the effectiveness and accuracy of new data sources and data gathering techniques.   · _ _ _ _ Develop custom data models and algorithms to apply to data sets.   · _ _ _ _ Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.   · _ _ _ _ Develop company A/B testing framework and test model quality.   · _ _ _ _ Coordinate with different functional teams to implement models and monitor outcomes.   · _ _ _ _ Develop processes and tools to monitor and analyze model performance and data accuracy.     Qualifications   · _ _ _ _ Strong problem solving skills with an emphasis on product development.   · _ _ _ _ Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.   · _ _ _ _ Experience working with and creating data architectures.   · _ _ _ _ Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.   · _ _ _ _ Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.   · _ _ _ _ Excellent written and verbal communication skills for coordinating across teams.   · _ _ _ _ A drive to learn and master new technologies and techniques.   · _ _ _ _ 8+ years of experience manipulating data sets and building statistical models, has a Master__ or PHD in Statistics, Mathematics, Computer Science or another quantitative field, and is familiar with the following software/tools:   o _ Coding knowledge and experience with several languages: C, C++, Java, Scala   o _ Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.   o _ Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.   o _ Experience using Spark, Cassandra, TensorFlow etc.   o _ Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.   o _ Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, MySQL, etc.",Computer Software,Information Technology,"Sunnyvale, CA",Full-time,https://in.linkedin.com/company/hcl-technologies?trk=public_jobs_topcard_org_name,"Sunnyvale, CA",Mid-Senior level,2020/5/17,19/5/2020 20:40:15,19/5/2020 20:40:15
30,social network analysis,1866856762,Head of Admissions,linkedin,"International Christian School, Hong Kong, a Private Independent School offering a through-train K-12 affordable quality Christ-centered education based on North American school curriculum to over 1,100 multinational English-speaking students, is looking for a suitable candidate to take up the role to provide quality services in people, processes, and systems by applying biblical values in daily operation.The job holder is to lead a team of admissions professionals with responsibility for the admission of qualified students to meet admission strategy and ensure smooth running of the admission process. S/he is a brand ambassador of the school to manage and develop excellent customer relationships with prospective students and parents.Key Responsibilities Admission Implement and execute admissions operational strategies for R1 to G12. Ensure admissions procedures and practices are in compliance with the school policies.Be the key point of contact for prospective parents from first contact with the school until the student__ first day.Communicate the school__ missions and approach in all interactions with prospective parents and students. Maintain ongoing, positive communication with prospective students throughout the application and admissions process.Oversee and ensure smooth running of the complete admissions cycle and pipeline. Supervise application processing and admissions operations. Maintain testing protocol for admission of students. Conduct admissions interviews and assessments, record and update information on the admissions systems. Manage all placement tests which s/he is a qualified practitioner on campus and interviews for new students to school and collate results.Counsel prospective students and conduct pre-admissions evaluation. Drive the student diversification and admissions opportunities. Uphold admissions standards and ensure qualified students_ ability to enter school.Manage parent and student expectations and deliver admissions decisions in a manner that is honest, caring, and diplomatic.Manage conditional offers, wait pool lists, rejections and ensure the school__ admission procedure is transparent and adhered to. Handle appeal of parents in a friendly and welcoming manner.Manage admissions professionals including providing clear communication regarding responsibilities, practices and feedbacks.Follow the best practice of admission procedures and engage in on-going development and training.Identify the students_ learning and emotional needs and counsel with Student Services team collaboratively for individual education plans. Oversee the transition programs with students and parents.Refine the admissions infrastructure, systems and process to deliver the admissions strategy and improve efficiency.Manage the annual re-enrollment process, monitor students_ response, respond to withdrawals and late notices, and update enrolment lists to administrators.Plan and manage the resources and budget development. Oversee the retention, security and confidentiality of student enrollment records. Marketing Supervise school tours for prospective families including staff liaison and all matters relating to prospective parents and student tours, ensuring that they have a positive experience during their personalized tour and maintaining high-quality customer care at all times and following through the entire on-boarding process. Ensure admission materials (brochures, flyers, website pages, social media, email communication) accurately and effectively inform prospective students about the school admissions eligibility and application procedures.Widen the school__ network in the delivery of multi-channel admission campaigns in order to drive admission objectives across a range of audiences.Inspire the school community and plan, organize, and execute particular admissions events such as school tours and open days. Participate in school-wide promotional events. Research and Reporting Provide regular reports with up-to-date statistics and analysis of student admissions and make recommendations where necessary to meet the admission development strategies.Oversee the admission database is updated in an accurate and timely fashion. Ensure data integrity and functionality of the admissions system.Assess effectiveness of admissions operations. Maintain comprehensive records and files for all applicants. Research and disseminate information of relevance to administrators, such as analysis of comparative schools and entry requirements, visa requirements, English language requirements, etc.Identify trends and opportunities from eligible applicants for opportunities for development.Qualification ExperienceMinimum of bachelor degree, preferred in Psychology, Communication, Marketing, Public Relation, Journalism or related disciplines.Certificate for administering tests is highly preferred. At least 8 years of progressively responsible experience in school admissions and student service-related experience, or combination of education and relevant experience in a school setting (preferably in international school). Successful and consistent track record of achievement in previous supervisory roles. Experience with evaluation for international and diverse students preferred. Solid experience in leading parent and student groups within a culturally diverse setting preferred.Solid experience in identifying student learning problems and extending strategies to teacher and providers for individual education plans.Strong track record of developing and managing relationships with corporates and parents.Skill PersonalityBe a highly credible ambassador for the school. Warm collaborative nature, positive energy, enthusiastic and self-motivated, with a high level of personal integrity.Goodbusiness acumen and able to maintain high level networking to build relationships and customer advocacy that positively impact on strategic business development.Genuine empathy for prospective families and awareness of the needs and sensitivities of parents, students, and the school community and ultimately be able to manage expectations and deliver admissions decisions.High level of interpersonal, public relations, and collaboration skill that demonstrate the proven ability to build trusting relationships, establish and maintain effective and harmonious work relations with faculty and staff, students, parents and the general public. Native or near native English speaking ability. Fluency in a second language is highly preferred.Strong oral and written communications skills, including the ability to clearly communicate, interpret, explain and apply policies and procedures, assessment methods and results in non-technical language.Maintain strict confidentiality of the office and student information is imperative.A consideration of different cultural sensitivities and approaches to wellbeing, plus the utmost respect for confidentiality of service.Be confident to approach individuals and gather and retain large amount of information in a friendly and professional manner.Highly organized, accurate and attentive to detail with strong statistical skills. Good IT and administration skills in utilizing large database with high accuracy.Able to prioritize and execute tasks in a high-pressured environment. Be fully cognizant of the need to work outside normal school hours (after-school and weekends) as required.This is an exciting opportunity which is challenging and full of learning opportunities. Interested parties please apply via our employment webpage at www.ics.edu.hk together with full resume.We are committed to providing a child safe environment safeguarding and promoting the welfare of children and young people. All applicants must be willing to undergo thorough background checks and child protection screening. All personal data collected will be kept in strict confidence and would only be used for recruitment purpose.All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.",Education Management,Education,International Christian School,Full-time,,Hong Kong SAR,Director,2020/5/16,19/5/2020 20:40:16,19/5/2020 20:40:16
31,social network analysis,1867234726,Hadoop Data Scientist,linkedin,"Role Data ScientistLocation Seattle, WA Phd is mandatoryEssential skills Strong problem solving skills with an emphasis on product development. Experience with Linear and Logistic modelling. Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets. Experience working with and creating data architectures. Should be proficient with Artificial Neural Networks, Random forest. Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantagesdrawbacks. Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications. Excellent written and verbal communication skills for coordinating across teams. A drive to learn and master new technologies and techniques. Strong hands on experience with Machine Learning. Wersquore looking for someone with experience in manipulating data sets and building statistical models and is familiar with the following softwaretools Knowledge and experience in statistical and data mining techniques GLMRegression, Random Forest, Boosting, Trees, text mining, social network analysis, etc. Experience querying databases and using statistical computer languages R, Python, etc. Experience using web services Redshift, S3, Spark, Digital Ocean, etc. Experience creating and using advanced machine learning algorithms and statistics regression, simulation, scenario analysis, modelling, clustering, decision trees, neural networks, etc. Experience analysing data from 3rd party providers Google Analytics, Site Catalyst, Core metrics, AdWords, Crimson Hexagon, Facebook Insights, etc. Experience with distributed datacomputing tools MapReduce, Hadoop, Hive, Spark, Cassandra, MySQL, etc. Experience visualizingpresenting data for stakeholders using Periscope, Business Objects, Tableau, D3, ggplot, etc.",Information Technology and Services,"Engineering,Information Technology","Seattle, WA",Full-time,https://www.linkedin.com/company/svprofessionals?trk=public_jobs_topcard_org_name,"Seattle, WA",Entry level,2020/5/16,19/5/2020 20:40:18,19/5/2020 20:40:18
